audit_id,baseline_id,experiment_id,route_role,canonical_path,target_user,query,query_cluster,surface,task_kind,evidence_fields,success_criteria,forbidden_claims,status,next_action
source_backed_assets_variant_gemini,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
source_backed_assets_variant_claude,source_backed_assets_variant,2026_q2_source_backed_assets_intent_validation,variant,/product/source-backed-launch-assets,product_marketer,source backed launch assets,source_backed_launch_assets,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_control_google_search_console,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
readme_cards_control_chatgpt_search,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_control_perplexity,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_control_google_ai_overview,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_control_gemini,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_control_claude,readme_cards_control,2026_q2_readme_cards_intent_validation,control,/product/github-repo-to-launch-package,design_lead,GitHub repo to launch package,github_repo_to_launch_package,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_variant_google_search_console,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
readme_cards_variant_chatgpt_search,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_variant_perplexity,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_variant_google_ai_overview,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_variant_gemini,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
readme_cards_variant_claude,readme_cards_variant,2026_q2_readme_cards_intent_validation,variant,/product/readme-marketing-cards,design_lead,README marketing cards,readme_marketing_cards,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_control_google_search_console,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
cold_start_materials_control_chatgpt_search,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_control_perplexity,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_control_google_ai_overview,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_control_gemini,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_control_claude,cold_start_materials_control,2026_q2_cold_start_materials_intent_validation,control,/product/github-repo-to-launch-package,ai_project_builder,GitHub repo to launch package,github_repo_to_launch_package,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_variant_google_search_console,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
cold_start_materials_variant_chatgpt_search,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_variant_perplexity,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_variant_google_ai_overview,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_variant_gemini,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
cold_start_materials_variant_claude,cold_start_materials_variant,2026_q2_cold_start_materials_intent_validation,variant,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_control_google_search_console,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
launch_materials_map_control_chatgpt_search,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_control_perplexity,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_control_google_ai_overview,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_control_gemini,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_control_claude,launch_materials_map_control,2026_q2_launch_materials_map_intent_validation,control,/product/cold-start-launch-materials,ai_project_builder,cold start launch materials,cold_start_launch_materials,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_variant_google_search_console,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,google_search_console,search_console_query_baseline,window_start|window_end|query|page|country|device|impressions|clicks|ctr|average_position,query_data_collected_and_mapped_to_canonical_page,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,export_14_day_search_console_query_page_metrics
launch_materials_map_variant_chatgpt_search,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,chatgpt_search,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_variant_perplexity,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,perplexity,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_variant_google_ai_overview,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,google_ai_overview,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_variant_gemini,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,gemini,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
launch_materials_map_variant_claude,launch_materials_map_variant,2026_q2_launch_materials_map_intent_validation,variant,/product/github-repo-launch-materials-map,ai_project_builder,GitHub repo launch materials map,github_repo_launch_materials_map,claude,ai_answer_audit,audit_date|mentioned|cited|source_url|answer_summary|accuracy_status|competitors_cited|forbidden_claims_observed,answer_mentions_or_omits_quickfork_without_forbidden_claims,pricing|rankings|revenue|customer_count|conversion_lift|product_hunt_outcome|guaranteed_launch|validated_ai_citation,pending,run_prompt_and_record_mention_citation_accuracy_and_competitors
